Ticker
AAON
USA
AAP
ABT
ACM
AECOM
ADBE
ADC
ADP
ADSK
AEE
AJG
AMH
AMT
APD
AR
ARE
ARMK
AWK
BAH
BAM
BBY
BJ
BLDR
BRO
BROS
BSX
BSY
BXP
CARR
CAVA
CBSH
CCI
CDNS
CDW
CE
CF
CHD
CHTR
CHWY
CI
CL
CLX
CMG
CMS
COIN
CORT
COST
CPRT
CPT
CRBG
CRCL
CRM
CROX
CRWD
CRWV
CSGP
CTAS
CUBE
DASH
DDOG
DE
DGX
DKNG
DLR
DOCS
DOCU
DOX
DRI
DRS
DT
DTE
DUK
DUOL
DXCM
ECL
ED
EFX
ELF
ELS
EMN
ENPH
SOLAR
EOG
EQH
EQR
EQT
ESTC
EXC
EXE
EXLS
EXR
FAST
FBIN
FFIV
FIG
FIS
FISV
FLUT
FND
FNF
FOUR
FRPT
FTNT
GDDY
GIS
GLPI
GNRC
GPC
GPN
GTLB
HD
HESM
HIMS
HNGE
HON
HRB
ICE
IFF
INSP
INTU
IOT
IP
IRM
ITGR
ITW
KBH
KBR
KMB
KMPR
KMX
KNTK
KO
KR
LBRDK
LEN
LINE
LKQ
LNG
LNTH
LRN
LW
LYV
MAA
MAS
MCD
MDLN
MDLZ
META
MHK
MKC
MMC
MO
MOH
MSFT
MSI
MSTR
MTCH
MTDR
NFLX
NKE
NNN
NOW
NTAP
NTNX
OC
OGE
OKE
OKTA
OLLI
ORCL
ORLY
OTIS
OVV
OXY
OZK
PANW
PAYX
PEG
PEP
PFGC
PG
PGR
PM
PNFP
PNW
POWI
PPC
PPG
PPL
PSA
PSN
PYPL
RBA
RBLX
RBRK
RCL
REG
RMD
ROP
RRC
RSG
RYAN
