Ticker
ABG
USA
AFRM
ALNY
ALRM
AMH
AVB
AXON
BFAM
BIO
BKNG
BLK
BLKB
CALX
CART
CDNS
CNXC
COIN
CRVL
DASH
DAVE
DKS
DUOL
EXLS
FWONA
GDDY
HLI
INTU
IRTC
KRC
MA
NKE
NRG
OLLI
PAYC
PAYX
PCOR
PEGA
SAH
SBAC
SEZL
SRE
SYK
TDG
TEAM
TLN
TNET
TRU
VRSK
VST
WDAY
